Y,X11_date,X1_G,X2_OG,X3_W,X4_OW,X5_L,X6_OL,X7_S,X8_OS,X9_D,X10_Sta,C1_DFri,C1_DSat,C1_DSun,C2_East,C3_OEast,C4_DATL,C4_DNW,C4_DP,C4_DSE,C4_DSW,C5_ODATL,C5_ODNW,C5_ODP,C5_ODSE,C5_ODSW
19857,38,19,19,3,11,15,7,-2,1,971.4,19200,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
19800,38,20,21,13,10,6,10,5,-5,968.8,19800,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
17063,38,20,20,4,11,15,8,-5,1,312,20328,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
19393,38,21,20,10,7,10,12,1,2,3254,19980,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
19596,38,20,20,16,6,3,13,-1,1,731.1,19596,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
19060,39,22,20,16,9,5,10,2,-1,2069,19060,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
19812,39,20,20,10,7,9,12,2,-2,2820,19812,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
15206,39,22,21,11,8,10,12,3,1,1188,22076,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
18203,39,21,21,12,7,8,13,4,-1,708,18203,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
21489,43,22,23,11,18,10,4,-3,4,1198,20917,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14317,43,24,24,15,12,8,11,4,-1,2246,18119,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
19911,43,24,23,14,19,9,3,3,3,738,18303,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14158,43,23,23,7,4,15,18,-3,-8,1219,16867,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
19800,43,22,22,14,6,7,15,-1,-1,91,19800,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
12645,43,21,23,7,8,13,14,-1,-1,1678,20356,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
16289,44,21,24,11,11,9,12,1,1,812,18717,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
20562,44,21,23,15,7,5,15,2,-3,1240,20562,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
18624,44,23,23,13,15,9,7,1,1,549,18624,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
15707,44,23,24,13,10,9,13,2,-1,439,19077,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
17608,44,22,23,8,12,13,10,1,-1,2822,17608,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
18997,44,25,23,10,6,14,16,-4,-3,373,18997,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19486,44,22,23,4,11,17,11,-2,1,901,19200,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18203,44,23,23,14,15,8,7,6,4,447,18203,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14109,44,23,25,6,12,16,12,-2,-1,705,19356,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
21450,45,23,24,12,7,10,16,1,-4,1378,20917,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
20562,45,22,24,16,14,5,9,3,3,514,20562,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
19060,45,24,24,16,7,7,16,-2,-4,1895,19060,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
18119,45,25,24,16,20,8,3,5,4,2077,18119,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
19331,45,25,23,14,8,10,14,-1,-1,649,18303,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
17010,45,25,24,10,8,14,15,-2,-2,1840,18846,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
16211,45,24,25,11,12,12,12,-1,-2,2263,17923,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
15761,45,24,23,16,5,7,17,5,1,242,18055,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
18418,45,24,22,18,6,5,15,-1,1,1826,18418,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
14816,45,22,22,8,11,13,10,1,-1,793,20356,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
18997,46,26,24,10,13,15,10,-5,1,2794,18997,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
7244,46,26,24,13,5,12,18,1,1,625,22076,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
16949,46,24,25,7,7,16,17,1,-5,1521,18422,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
18203,46,24,24,14,13,9,10,-1,-1,1678,18203,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
18452,46,24,25,6,20,17,4,-3,-1,1969,19356,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
16704,50,24,25,11,13,12,11,-3,-1,92,18717,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10022,50,26,28,9,13,16,14,-1,1,1241,19155,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15472,50,27,27,8,13,18,13,-1,-1,820,16867,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
17165,50,26,26,8,20,17,5,1,2,985,18422,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
19596,50,27,26,22,14,4,11,2,-1,2908,19596,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
21324,51,26,25,13,12,12,12,-2,1,93,20917,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18624,51,26,27,13,14,12,12,-3,-3,836,18624,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
15987,51,28,26,18,9,9,16,1,-1,2093,18119,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19600,51,27,27,9,19,17,7,2,3,2732,19600,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
18721,51,27,26,16,6,10,19,2,-1,1256,18303,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17668,51,28,25,11,7,16,17,-1,1,1073,18846,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
19800,51,26,26,18,12,7,13,4,-1,969,19800,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
16728,51,27,28,19,9,7,18,8,1,347,18055,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20491,51,26,29,6,10,19,18,-1,-8,2718,20328,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
15573,51,25,28,10,14,14,13,1,1,557,20356,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
20562,52,25,30,18,11,6,18,-1,1,2348,20562,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
17918,52,27,28,13,14,13,13,1,-4,244,18118,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
12042,52,27,27,10,14,16,12,1,-2,1779,19155,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
15231,52,29,28,14,13,14,14,-1,-2,314,22076,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
18203,52,27,27,15,8,11,18,-2,-1,959,18203,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
14689,52,26,28,7,20,18,7,1,9,1178,19356,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
19596,52,28,29,23,13,4,15,3,-1,636,19596,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
15862,53,29,28,18,17,10,10,-1,3,1527,18119,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
19600,53,28,27,9,14,18,12,-1,1,1487,19600,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
17251,53,29,27,12,18,16,8,1,-1,1279,18846,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
19504,53,27,27,6,10,20,16,-2,1,1744,19200,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
16460,53,27,26,6,7,20,18,-2,-1,101,20328,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
